date,premise_code,item_code,price
2023-11-14,17877,2,11.5
2023-11-14,17881,2,12.4
2023-11-14,17975,2,11.9
2023-11-14,17987,2,11.69
2023-11-14,18105,2,11.99
2023-11-14,18129,2,11.8
2023-11-14,18135,2,11.79
2023-11-14,18165,2,11.99
2023-11-14,18170,2,12.0
2023-11-14,18197,2,11.3
2023-11-14,18198,2,8.79
2023-11-14,18209,2,11.99
2023-11-14,18337,2,8.79
2023-11-14,18340,2,12.3
2023-11-14,18344,2,11.6
2023-11-14,18345,2,11.2
2023-11-14,18346,2,11.5
2023-11-14,18351,2,11.59
2023-11-14,18413,2,12.0
2023-11-14,18457,2,11.9
2023-11-14,18460,2,11.35
2023-11-14,18462,2,14.0
2023-11-14,18481,2,11.99
2023-11-14,18501,2,11.6
2023-11-14,18502,2,11.2
2023-11-14,18503,2,11.3
2023-11-14,18605,2,10.4
2023-11-14,18705,2,12.29
2023-11-14,19117,2,11.99
2023-11-14,20690,2,10.4
2023-11-14,20731,2,8.79
2023-11-14,20732,2,11.6
2023-11-14,20740,2,8.45
2023-11-14,20759,2,9.99
2023-11-14,20810,2,10.4
2023-11-14,20833,2,8.99
2023-11-14,20854,2,10.39
2023-11-14,20856,2,10.99
2023-11-14,20864,2,11.2
2023-11-14,20865,2,11.5
2023-11-14,20866,2,11.59
2023-11-14,20867,2,11.3
2023-11-14,20874,2,11.8
2023-11-15,3,2,9.6
2023-11-15,365,2,13.0
2023-11-15,494,2,10.39
2023-11-15,589,2,11.0
2023-11-15,633,2,13.0
2023-11-15,754,2,11.59
2023-11-15,758,2,11.5
2023-11-15,834,2,12.0
2023-11-15,857,2,12.0
2023-11-15,873,2,12.0
2023-11-15,1117,2,9.9
2023-11-15,1300,2,12.2
2023-11-15,1718,2,8.99
2023-11-15,1844,2,11.8
2023-11-15,2161,2,10.0
2023-11-15,2190,2,10.4
2023-11-15,2230,2,12.0
2023-11-15,2270,2,11.6
2023-11-15,2280,2,10.39
2023-11-15,2450,2,11.99
2023-11-15,2507,2,12.3
2023-11-15,2517,2,12.0
2023-11-15,2554,2,11.99
2023-11-15,2617,2,12.0
2023-11-15,2629,2,11.8
2023-11-15,2879,2,11.6
2023-11-15,3003,2,9.6
2023-11-15,3056,2,11.6
2023-11-15,3078,2,9.39
2023-11-15,3130,2,9.6
2023-11-15,3214,2,11.99
2023-11-15,3702,2,13.0
2023-11-15,3722,2,12.0
2023-11-15,3727,2,10.9
2023-11-15,3838,2,11.3
2023-11-15,3845,2,11.99
2023-11-15,4302,2,11.99
2023-11-15,4303,2,12.8
2023-11-15,4313,2,12.0
2023-11-15,4667,2,15.5
2023-11-15,5218,2,10.99
2023-11-15,5234,2,10.8
2023-11-15,5274,2,8.79
2023-11-15,5377,2,8.79
2023-11-15,5379,2,11.8
2023-11-15,5678,2,11.6
2023-11-15,5980,2,10.4
2023-11-15,6143,2,11.0
2023-11-15,6177,2,11.59
2023-11-15,9051,2,10.8
2023-11-15,9787,2,10.4
2023-11-15,9933,2,12.0
2023-11-15,10720,2,11.89
2023-11-15,10750,2,12.3
2023-11-15,11332,2,11.7
2023-11-15,11523,2,11.5
2023-11-15,11524,2,10.99
2023-11-15,11536,2,11.9
2023-11-15,11537,2,11.5
2023-11-15,11538,2,12.3
2023-11-15,11550,2,12.0
2023-11-15,11564,2,9.6
2023-11-15,11587,2,13.0
2023-11-15,11614,2,10.39
2023-11-15,11622,2,9.6
2023-11-15,11630,2,10.9
2023-11-15,11632,2,12.0
2023-11-15,11652,2,9.6
2023-11-15,11699,2,10.39
2023-11-15,11711,2,13.99
2023-11-15,11925,2,10.4
2023-11-15,12743,2,9.9
2023-11-15,12761,2,12.0
2023-11-15,13790,2,9.6
2023-11-15,14384,2,11.8
2023-11-15,14807,2,9.6
2023-11-15,14811,2,9.6
2023-11-15,14863,2,11.89
2023-11-15,15531,2,12.8
2023-11-15,15556,2,11.59
2023-11-15,15820,2,12.29
2023-11-15,15903,2,8.79
2023-11-15,16087,2,9.6
2023-11-15,16195,2,11.99
2023-11-15,16353,2,10.19
2023-11-15,16383,2,12.29
2023-11-15,16394,2,11.99
2023-11-15,16472,2,11.2
2023-11-15,16482,2,9.79
2023-11-15,16519,2,10.99
2023-11-15,16522,2,12.5
2023-11-15,17098,2,11.99
2023-11-15,17101,2,10.5
2023-11-15,17128,2,8.79
2023-11-15,17152,2,11.89
2023-11-15,17167,2,9.9
2023-11-15,17179,2,12.8
2023-11-15,17292,2,11.89
2023-11-15,17313,2,11.5
2023-11-15,17329,2,11.99
2023-11-15,17522,2,8.79
2023-11-15,17637,2,9.6
2023-11-15,17649,2,9.89
2023-11-15,17712,2,10.4
2023-11-15,17727,2,11.5
2023-11-15,17728,2,11.8
2023-11-15,17789,2,11.49
2023-11-15,17797,2,9.39
2023-11-15,17828,2,11.5
2023-11-15,17831,2,11.89
2023-11-15,17835,2,11.6
2023-11-15,17839,2,11.59
2023-11-15,17851,2,12.3
2023-11-15,17876,2,11.5
2023-11-15,17877,2,11.5
2023-11-15,17881,2,12.4
2023-11-15,17975,2,11.9
2023-11-15,17987,2,11.69
2023-11-15,18105,2,11.99
2023-11-15,18129,2,11.8
2023-11-15,18135,2,11.79
2023-11-15,18165,2,11.99
2023-11-15,18170,2,12.0
2023-11-15,18197,2,11.3
2023-11-15,18198,2,8.79
2023-11-15,18209,2,11.99
2023-11-15,18337,2,8.79
2023-11-15,18340,2,12.3
2023-11-15,18344,2,11.6
2023-11-15,18345,2,11.2
2023-11-15,18346,2,11.5
2023-11-15,18351,2,11.59
2023-11-15,18413,2,12.0
2023-11-15,18457,2,11.9
2023-11-15,18460,2,11.35
2023-11-15,18462,2,14.0
2023-11-15,18464,2,13.99
2023-11-15,18481,2,11.99
2023-11-15,18501,2,11.6
2023-11-15,18502,2,11.2
2023-11-15,18503,2,11.3
2023-11-15,18605,2,10.4
2023-11-15,18705,2,12.29
2023-11-15,19117,2,11.99
2023-11-15,20690,2,10.4
2023-11-15,20695,2,12.3
2023-11-15,20715,2,12.2
2023-11-15,20731,2,8.79
2023-11-15,20732,2,11.6
2023-11-15,20759,2,9.99
2023-11-15,20810,2,10.4
2023-11-15,20833,2,8.99
2023-11-15,20854,2,10.39
2023-11-15,20856,2,10.99
2023-11-15,20864,2,11.2
2023-11-15,20865,2,11.5
2023-11-15,20866,2,11.59
2023-11-15,20867,2,11.3
2023-11-15,20874,2,11.8
2023-11-16,3,2,9.6
2023-11-16,365,2,13.0
2023-11-16,494,2,10.39
2023-11-16,589,2,11.0
2023-11-16,633,2,13.0
2023-11-16,754,2,11.59
2023-11-16,758,2,11.5
2023-11-16,834,2,12.0
2023-11-16,857,2,12.0
2023-11-16,873,2,12.0
2023-11-16,1117,2,9.9
2023-11-16,1134,2,10.2
2023-11-16,1300,2,12.2
2023-11-16,1718,2,8.99
2023-11-16,1844,2,11.8
2023-11-16,2161,2,9.9
2023-11-16,2190,2,10.4
2023-11-16,2230,2,12.0
2023-11-16,2270,2,11.6
2023-11-16,2280,2,10.39
2023-11-16,2450,2,11.99
2023-11-16,2507,2,12.3
2023-11-16,2517,2,12.0
2023-11-16,2554,2,11.99
2023-11-16,2617,2,12.0
2023-11-16,2629,2,11.8
2023-11-16,2879,2,11.6
2023-11-16,3003,2,9.6
2023-11-16,3056,2,11.6
2023-11-16,3078,2,9.69
2023-11-16,3130,2,9.6
2023-11-16,3214,2,11.99
2023-11-16,3702,2,13.0
2023-11-16,3722,2,12.0
2023-11-16,3727,2,10.9
2023-11-16,3838,2,11.3
2023-11-16,3845,2,11.99
2023-11-16,4302,2,11.99
2023-11-16,4303,2,12.8
2023-11-16,4313,2,12.0
2023-11-16,4667,2,15.5
2023-11-16,5218,2,10.99
2023-11-16,5234,2,10.8
2023-11-16,5274,2,8.29
2023-11-16,5377,2,8.29
2023-11-16,5379,2,11.8
2023-11-16,5678,2,11.6
2023-11-16,5980,2,10.4
2023-11-16,6143,2,11.0
2023-11-16,6177,2,11.59
2023-11-16,9051,2,10.8
2023-11-16,9787,2,10.4
2023-11-16,9933,2,12.0
2023-11-16,10720,2,11.89
2023-11-16,10750,2,12.3
2023-11-16,11332,2,11.7
2023-11-16,11523,2,11.5
2023-11-16,11524,2,10.99
2023-11-16,11536,2,11.9
2023-11-16,11537,2,11.5
2023-11-16,11538,2,12.3
2023-11-16,11550,2,12.0
2023-11-16,11564,2,9.6
2023-11-16,11587,2,13.0
2023-11-16,11622,2,9.6
2023-11-16,11630,2,10.9
2023-11-16,11632,2,12.0
2023-11-16,11652,2,9.6
2023-11-16,11699,2,10.39
2023-11-16,11711,2,13.99
2023-11-16,11925,2,10.4
2023-11-16,12743,2,9.9
2023-11-16,12761,2,12.0
2023-11-16,13715,2,8.29
2023-11-16,13790,2,9.6
2023-11-16,14384,2,11.8
2023-11-16,14807,2,9.6
2023-11-16,14811,2,9.6
2023-11-16,14863,2,11.89
2023-11-16,15531,2,12.8
2023-11-16,15556,2,11.59
2023-11-16,15820,2,12.29
2023-11-16,15903,2,8.29
2023-11-16,16087,2,9.6
2023-11-16,16195,2,11.99
2023-11-16,16353,2,10.19
2023-11-16,16383,2,11.99
2023-11-16,16394,2,11.99
2023-11-16,16472,2,11.2
2023-11-16,16482,2,9.79
2023-11-16,16519,2,10.99
2023-11-16,16522,2,12.5
2023-11-16,16547,2,8.29
2023-11-16,16554,2,12.29
2023-11-16,17098,2,11.99
2023-11-16,17101,2,10.5
2023-11-16,17128,2,8.79
2023-11-16,17152,2,11.89
2023-11-16,17167,2,9.9
2023-11-16,17179,2,12.8
2023-11-16,17292,2,11.89
2023-11-16,17313,2,11.5
2023-11-16,17329,2,11.99
2023-11-16,17522,2,8.29
2023-11-16,17649,2,10.69
2023-11-16,17710,2,12.0
2023-11-16,17727,2,11.5
2023-11-16,17728,2,11.8
2023-11-16,17789,2,11.49
2023-11-16,17797,2,9.39
2023-11-16,17828,2,11.5
2023-11-16,17831,2,11.89
2023-11-16,17835,2,11.6
2023-11-16,17839,2,11.59
2023-11-16,17851,2,12.3
2023-11-16,17858,2,11.99
2023-11-16,17876,2,11.5
2023-11-16,17877,2,11.5
2023-11-16,17881,2,12.4
2023-11-16,17975,2,11.9
2023-11-16,17987,2,11.69
2023-11-16,18105,2,11.99
2023-11-16,18129,2,11.8
2023-11-16,18135,2,11.79
2023-11-16,18165,2,11.99
2023-11-16,18170,2,12.0
2023-11-16,18197,2,11.3
2023-11-16,18198,2,8.79
2023-11-16,18209,2,11.99
2023-11-16,18337,2,8.79
2023-11-16,18340,2,12.3
2023-11-16,18344,2,11.6
2023-11-16,18345,2,11.2
2023-11-16,18346,2,11.5
2023-11-16,18351,2,11.59
2023-11-16,18413,2,12.0
2023-11-16,18457,2,11.9
2023-11-16,18460,2,11.35
2023-11-16,18462,2,14.0
2023-11-16,18464,2,13.99
2023-11-16,18481,2,11.99
2023-11-16,18501,2,11.6
2023-11-16,18502,2,11.2
2023-11-16,18503,2,11.3
2023-11-16,18605,2,10.4
2023-11-16,18705,2,12.29
2023-11-16,19117,2,11.99
2023-11-16,20690,2,10.4
2023-11-16,20695,2,12.3
2023-11-16,20715,2,12.2
2023-11-16,20731,2,8.29
2023-11-16,20732,2,11.6
2023-11-16,20759,2,10.19
2023-11-16,20786,2,8.29
2023-11-16,20810,2,10.4
2023-11-16,20833,2,8.99
2023-11-16,20854,2,10.39
2023-11-16,20856,2,10.99
2023-11-16,20864,2,11.2
2023-11-16,20865,2,11.5
2023-11-16,20866,2,11.59
2023-11-16,20867,2,11.3
2023-11-16,20874,2,11.8
2023-11-17,3,2,9.6
2023-11-17,365,2,13.0
2023-11-17,494,2,10.39
2023-11-17,589,2,11.0
2023-11-17,633,2,13.0
2023-11-17,754,2,11.59
2023-11-17,758,2,11.5
2023-11-17,834,2,12.0
2023-11-17,857,2,12.0
2023-11-17,873,2,12.0
2023-11-17,1117,2,9.9
2023-11-17,1134,2,10.2
2023-11-17,1300,2,12.2
2023-11-17,1718,2,8.99
2023-11-17,1844,2,11.8
2023-11-17,2161,2,9.9
2023-11-17,2190,2,10.4
2023-11-17,2230,2,12.0
2023-11-17,2270,2,11.6
2023-11-17,2280,2,10.39
2023-11-17,2450,2,11.99
2023-11-17,2507,2,12.3
2023-11-17,2517,2,12.0
2023-11-17,2554,2,11.99
2023-11-17,2617,2,12.0
2023-11-17,2629,2,11.8
2023-11-17,2879,2,11.6
2023-11-17,3003,2,9.6
2023-11-17,3056,2,11.6
2023-11-17,3078,2,9.69
2023-11-17,3130,2,9.6
2023-11-17,3214,2,8.0
2023-11-17,3702,2,13.0
2023-11-17,3722,2,12.0
2023-11-17,3727,2,10.9
2023-11-17,3838,2,11.3
2023-11-17,3845,2,11.99
2023-11-17,4302,2,11.99
2023-11-17,4303,2,12.8
2023-11-17,4313,2,12.0
2023-11-17,4667,2,15.5
2023-11-17,5218,2,10.99
2023-11-17,5234,2,10.8
2023-11-17,5274,2,8.29
2023-11-17,5377,2,8.29
2023-11-17,5379,2,11.8
2023-11-17,5678,2,11.6
2023-11-17,5980,2,10.4
2023-11-17,6143,2,11.0
2023-11-17,6177,2,11.59
2023-11-17,9051,2,10.8
2023-11-17,9787,2,10.4
2023-11-17,9933,2,12.0
2023-11-17,10720,2,11.89
2023-11-17,10750,2,12.3
2023-11-17,11332,2,11.7
2023-11-17,11523,2,11.5
2023-11-17,11524,2,10.99
2023-11-17,11536,2,11.9
2023-11-17,11537,2,11.5
2023-11-17,11538,2,12.3
2023-11-17,11543,2,8.0
2023-11-17,11550,2,12.0
2023-11-17,11564,2,9.6
2023-11-17,11587,2,13.0
2023-11-17,11622,2,9.6
2023-11-17,11623,2,10.39
2023-11-17,11630,2,10.9
2023-11-17,11632,2,12.0
2023-11-17,11652,2,9.6
2023-11-17,11699,2,10.39
2023-11-17,11711,2,13.99
2023-11-17,11925,2,10.4
2023-11-17,12743,2,9.6
2023-11-17,12761,2,12.0
2023-11-17,13715,2,8.29
2023-11-17,13790,2,9.6
2023-11-17,14384,2,11.8
2023-11-17,14807,2,9.6
2023-11-17,14811,2,9.6
2023-11-17,14863,2,11.89
2023-11-17,15531,2,12.8
2023-11-17,15556,2,11.59
2023-11-17,15820,2,12.29
2023-11-17,15903,2,8.29
2023-11-17,16087,2,9.6
2023-11-17,16195,2,11.99
2023-11-17,16353,2,10.19
2023-11-17,16383,2,11.99
2023-11-17,16394,2,11.99
2023-11-17,16472,2,11.2
2023-11-17,16482,2,9.99
2023-11-17,16519,2,10.99
2023-11-17,16522,2,12.5
2023-11-17,16547,2,8.29
2023-11-17,16554,2,12.29
2023-11-17,16927,2,12.5
2023-11-17,17098,2,11.99
2023-11-17,17101,2,10.5
2023-11-17,17128,2,8.79
2023-11-17,17167,2,9.9
2023-11-17,17292,2,11.89
2023-11-17,17313,2,11.5
2023-11-17,17329,2,11.99
2023-11-17,17522,2,8.29
2023-11-17,17649,2,10.69
2023-11-17,17710,2,12.0
2023-11-17,17727,2,11.5
2023-11-17,17728,2,11.8
2023-11-17,17789,2,11.49
